Municipios;Sexo;Periodo;Total
29022 Benadalid;Total;2016;232
29022 Benadalid;Total;2015;253
29022 Benadalid;Total;2014;253
29022 Benadalid;Total;2013;258
29022 Benadalid;Total;2012;262
29022 Benadalid;Total;2011;262
29022 Benadalid;Total;2010;265
29022 Benadalid;Total;2009;257
29022 Benadalid;Total;2008;261
29022 Benadalid;Total;2007;255
29022 Benadalid;Total;2006;258
29022 Benadalid;Total;2005;259
29022 Benadalid;Total;2004;258
29022 Benadalid;Total;2003;263
29022 Benadalid;Total;2002;261
29022 Benadalid;Total;2001;270
29022 Benadalid;Total;2000;262
29022 Benadalid;Total;1999;260
29022 Benadalid;Total;1998;253
29022 Benadalid;Total;1997;""
29022 Benadalid;Total;1996;264
29022 Benadalid;Hombres;2022;118
29022 Benadalid;Hombres;2021;118
29022 Benadalid;Hombres;2020;117
29022 Benadalid;Hombres;2019;108
29022 Benadalid;Hombres;2018;110
29022 Benadalid;Hombres;2017;111
29022 Benadalid;Hombres;2016;117
29022 Benadalid;Hombres;2015;124
29022 Benadalid;Hombres;2014;124
29022 Benadalid;Hombres;2013;125
29022 Benadalid;Hombres;2012;130
29022 Benadalid;Hombres;2011;130
29022 Benadalid;Hombres;2010;122
29022 Benadalid;Hombres;2009;122
29022 Benadalid;Hombres;2008;129
29022 Benadalid;Hombres;2007;129
29022 Benadalid;Hombres;2006;134
29022 Benadalid;Hombres;2005;136
29022 Benadalid;Hombres;2004;133
29022 Benadalid;Hombres;2003;138
29022 Benadalid;Hombres;2002;137
29022 Benadalid;Hombres;2001;141
29022 Benadalid;Hombres;2000;137
29022 Benadalid;Hombres;1999;136
29022 Benadalid;Hombres;1998;130
29022 Benadalid;Hombres;1997;""
29022 Benadalid;Hombres;1996;145
29022 Benadalid;Mujeres;2022;121
29022 Benadalid;Mujeres;2021;118
29022 Benadalid;Mujeres;2020;116
29022 Benadalid;Mujeres;2019;107
29022 Benadalid;Mujeres;2018;115
29022 Benadalid;Mujeres;2017;112
29022 Benadalid;Mujeres;2016;115
29022 Benadalid;Mujeres;2015;129
29022 Benadalid;Mujeres;2014;129
29022 Benadalid;Mujeres;2013;133
29022 Benadalid;Mujeres;2012;132
29022 Benadalid;Mujeres;2011;132
29022 Benadalid;Mujeres;2010;143
29022 Benadalid;Mujeres;2009;135
29022 Benadalid;Mujeres;2008;132
29022 Benadalid;Mujeres;2007;126
29022 Benadalid;Mujeres;2006;124
29022 Benadalid;Mujeres;2005;123
29022 Benadalid;Mujeres;2004;125
29022 Benadalid;Mujeres;2003;125
29022 Benadalid;Mujeres;2002;124
29022 Benadalid;Mujeres;2001;129
29022 Benadalid;Mujeres;2000;125
29022 Benadalid;Mujeres;1999;124
29022 Benadalid;Mujeres;1998;123
29022 Benadalid;Mujeres;1997;""
29022 Benadalid;Mujeres;1996;119
29023 Benahavís;Total;2022;8.763
29023 Benahavís;Total;2021;7.829
29023 Benahavís;Total;2020;7.748
29023 Benahavís;Total;2019;8.085
29023 Benahavís;Total;2018;7.989
29023 Benahavís;Total;2017;7.348
29023 Benahavís;Total;2016;7.342
29023 Benahavís;Total;2015;7.105
29023 Benahavís;Total;2014;6.660
29023 Benahavís;Total;2013;6.380
29023 Benahavís;Total;2012;5.980
29023 Benahavís;Total;2011;5.486
29023 Benahavís;Total;2010;4.932
29023 Benahavís;Total;2009;4.373
29023 Benahavís;Total;2008;3.844
29023 Benahavís;Total;2007;3.253
29023 Benahavís;Total;2006;2.860
29023 Benahavís;Total;2005;2.649
29023 Benahavís;Total;2004;2.265
29023 Benahavís;Total;2003;2.401
29023 Benahavís;Total;2002;2.204
29023 Benahavís;Total;2001;2.116
29023 Benahavís;Total;2000;2.079
29023 Benahavís;Total;1999;1.867
29023 Benahavís;Total;1998;1.710
29023 Benahavís;Total;1997;""
29023 Benahavís;Total;1996;1.721
29023 Benahavís;Hombres;2022;4.368
29023 Benahavís;Hombres;2021;3.871
29023 Benahavís;Hombres;2020;3.850
29023 Benahavís;Hombres;2019;4.043
29023 Benahavís;Hombres;2018;4.024
29023 Benahavís;Hombres;2017;3.703
29023 Benahavís;Hombres;2016;3.686
29023 Benahavís;Hombres;2015;3.555
29023 Benahavís;Hombres;2014;3.360
29023 Benahavís;Hombres;2013;3.220
29023 Benahavís;Hombres;2012;3.044
29023 Benahavís;Hombres;2011;2.812
29023 Benahavís;Hombres;2010;2.552
29023 Benahavís;Hombres;2009;2.257
29023 Benahavís;Hombres;2008;1.981
29023 Benahavís;Hombres;2007;1.679
29023 Benahavís;Hombres;2006;1.460
29023 Benahavís;Hombres;2005;1.356
29023 Benahavís;Hombres;2004;1.151
29023 Benahavís;Hombres;2003;1.196
29023 Benahavís;Hombres;2002;1.098
29023 Benahavís;Hombres;2001;1.052
29023 Benahavís;Hombres;2000;1.040
29023 Benahavís;Hombres;1999;928
29023 Benahavís;Hombres;1998;836
29023 Benahavís;Hombres;1997;""
29023 Benahavís;Hombres;1996;855
29023 Benahavís;Mujeres;2022;4.395
29023 Benahavís;Mujeres;2021;3.958
29023 Benahavís;Mujeres;2020;3.898
29023 Benahavís;Mujeres;2019;4.042
29023 Benahavís;Mujeres;2018;3.965
29023 Benahavís;Mujeres;2017;3.645
29023 Benahavís;Mujeres;2016;3.656
29023 Benahavís;Mujeres;2015;3.550
29023 Benahavís;Mujeres;2014;3.300
29023 Benahavís;Mujeres;2013;3.160
29023 Benahavís;Mujeres;2012;2.936
29023 Benahavís;Mujeres;2011;2.674
29023 Benahavís;Mujeres;2010;2.380
29023 Benahavís;Mujeres;2009;2.116
29023 Benahavís;Mujeres;2008;1.863
29023 Benahavís;Mujeres;2007;1.574
29023 Benahavís;Mujeres;2006;1.400
29023 Benahavís;Mujeres;2005;1.293
29023 Benahavís;Mujeres;2004;1.114
29023 Benahavís;Mujeres;2003;1.205
29023 Benahavís;Mujeres;2002;1.106
29023 Benahavís;Mujeres;2001;1.064
29023 Benahavís;Mujeres;2000;1.039
29023 Benahavís;Mujeres;1999;939
29023 Benahavís;Mujeres;1998;874
29023 Benahavís;Mujeres;1997;""
29023 Benahavís;Mujeres;1996;866
29024 Benalauría;Total;2022;434
29024 Benalauría;Total;2021;436
29024 Benalauría;Total;2020;438
29024 Benalauría;Total;2019;438
29024 Benalauría;Total;2018;443
29024 Benalauría;Total;2017;449
29024 Benalauría;Total;2016;456
29024 Benalauría;Total;2015;470
29024 Benalauría;Total;2014;482
29024 Benalauría;Total;2013;492
29024 Benalauría;Total;2012;511
29024 Benalauría;Total;2011;514
29024 Benalauría;Total;2010;506
29024 Benalauría;Total;2009;503
29024 Benalauría;Total;2008;508
29024 Benalauría;Total;2007;466
29024 Benalauría;Total;2006;468
29024 Benalauría;Total;2005;474
29024 Benalauría;Total;2004;476
29024 Benalauría;Total;2003;481
29024 Benalauría;Total;2002;470
29024 Benalauría;Total;2001;487
29024 Benalauría;Total;2000;499
29024 Benalauría;Total;1999;504
29024 Benalauría;Total;1998;509
29024 Benalauría;Total;1997;""
29024 Benalauría;Total;1996;521
29024 Benalauría;Hombres;2022;229
29024 Benalauría;Hombres;2021;227
29024 Benalauría;Hombres;2020;231
29024 Benalauría;Hombres;2019;231
29024 Benalauría;Hombres;2018;227
29024 Benalauría;Hombres;2017;237
29024 Benalauría;Hombres;2016;241
29024 Benalauría;Hombres;2015;255
29024 Benalauría;Hombres;2014;261
29024 Benalauría;Hombres;2013;262
29024 Benalauría;Hombres;2012;278
29024 Benalauría;Hombres;2011;280
29024 Benalauría;Hombres;2010;269
29024 Benalauría;Hombres;2009;268
29024 Benalauría;Hombres;2008;267
29024 Benalauría;Hombres;2007;243
29024 Benalauría;Hombres;2006;243
29024 Benalauría;Hombres;2005;243
29024 Benalauría;Hombres;2004;248
29024 Benalauría;Hombres;2003;247
29024 Benalauría;Hombres;2002;247
29024 Benalauría;Hombres;2001;253
29024 Benalauría;Hombres;2000;258
29024 Benalauría;Hombres;1999;265
29024 Benalauría;Hombres;1998;270
29024 Benalauría;Hombres;1997;""
29024 Benalauría;Hombres;1996;277
29024 Benalauría;Mujeres;2022;205
29024 Benalauría;Mujeres;2021;209
29024 Benalauría;Mujeres;2020;207
29024 Benalauría;Mujeres;2019;207
29024 Benalauría;Mujeres;2018;216
29024 Benalauría;Mujeres;2017;212
29024 Benalauría;Mujeres;2016;215
29024 Benalauría;Mujeres;2015;215
29024 Benalauría;Mujeres;2014;221
29024 Benalauría;Mujeres;2013;230
29024 Benalauría;Mujeres;2012;233
29024 Benalauría;Mujeres;2011;234
29024 Benalauría;Mujeres;2010;237
29024 Benalauría;Mujeres;2009;235
29024 Benalauría;Mujeres;2008;241
29024 Benalauría;Mujeres;2007;223
29024 Benalauría;Mujeres;2006;225
29024 Benalauría;Mujeres;2005;231
29024 Benalauría;Mujeres;2004;228
29024 Benalauría;Mujeres;2003;234
29024 Benalauría;Mujeres;2002;223
29024 Benalauría;Mujeres;2001;234
29024 Benalauría;Mujeres;2000;241
29024 Benalauría;Mujeres;1999;239
29024 Benalauría;Mujeres;1998;239
29024 Benalauría;Mujeres;1997;""
29024 Benalauría;Mujeres;1996;244
29025 Benalmádena;Total;2022;73.160
29025 Benalmádena;Total;2021;70.204
29025 Benalmádena;Total;2020;69.144
29025 Benalmádena;Total;2019;68.128
29025 Benalmádena;Total;2018;67.746
29025 Benalmádena;Total;2017;68.859
29025 Benalmádena;Total;2016;67.245
29025 Benalmádena;Total;2015;66.598
29025 Benalmádena;Total;2014;66.939
29025 Benalmádena;Total;2013;69.002
29025 Benalmádena;Total;2012;65.965
29025 Benalmádena;Total;2011;63.788
29025 Benalmádena;Total;2010;61.383
29025 Benalmádena;Total;2009;58.854
29025 Benalmádena;Total;2008;55.960
29025 Benalmádena;Total;2007;52.217
29025 Benalmádena;Total;2006;50.298
29025 Benalmádena;Total;2005;45.686
29025 Benalmádena;Total;2004;42.437
29025 Benalmádena;Total;2003;40.064
29025 Benalmádena;Total;2002;35.946
29025 Benalmádena;Total;2001;33.557
29025 Benalmádena;Total;2000;31.964
29025 Benalmádena;Total;1999;30.059
29025 Benalmádena;Total;1998;28.479
29025 Benalmádena;Total;1997;""
29025 Benalmádena;Total;1996;27.147
29025 Benalmádena;Hombres;2022;35.839
29025 Benalmádena;Hombres;2021;34.383
29025 Benalmádena;Hombres;2020;33.892
29025 Benalmádena;Hombres;2019;33.521
29025 Benalmádena;Hombres;2018;33.385
29025 Benalmádena;Hombres;2017;34.082
29025 Benalmádena;Hombres;2016;33.273
29025 Benalmádena;Hombres;2015;32.976
29025 Benalmádena;Hombres;2014;33.053
29025 Benalmádena;Hombres;2013;34.141
29025 Benalmádena;Hombres;2012;32.612
29025 Benalmádena;Hombres;2011;31.546
29025 Benalmádena;Hombres;2010;30.299
29025 Benalmádena;Hombres;2009;29.111
29025 Benalmádena;Hombres;2008;27.751
29025 Benalmádena;Hombres;2007;25.861
29025 Benalmádena;Hombres;2006;24.940
29025 Benalmádena;Hombres;2005;22.574
29025 Benalmádena;Hombres;2004;20.886
29025 Benalmádena;Hombres;2003;19.710
29025 Benalmádena;Hombres;2002;17.633
29025 Benalmádena;Hombres;2001;16.506
29025 Benalmádena;Hombres;2000;15.709
29025 Benalmádena;Hombres;1999;14.770
29025 Benalmádena;Hombres;1998;13.956
29025 Benalmádena;Hombres;1997;""
29025 Benalmádena;Hombres;1996;13.291
29025 Benalmádena;Mujeres;2022;37.321
29025 Benalmádena;Mujeres;2021;35.821
29025 Benalmádena;Mujeres;2020;35.252
29025 Benalmádena;Mujeres;2019;34.607
29025 Benalmádena;Mujeres;2018;34.361
29025 Benalmádena;Mujeres;2017;34.777
29025 Benalmádena;Mujeres;2016;33.972
29025 Benalmádena;Mujeres;2015;33.622
29025 Benalmádena;Mujeres;2014;33.886
29025 Benalmádena;Mujeres;2013;34.861
29025 Benalmádena;Mujeres;2012;33.353
29025 Benalmádena;Mujeres;2011;32.242
29025 Benalmádena;Mujeres;2010;31.084
29025 Benalmádena;Mujeres;2009;29.743
29025 Benalmádena;Mujeres;2008;28.209
29025 Benalmádena;Mujeres;2007;26.356
29025 Benalmádena;Mujeres;2006;25.358
29025 Benalmádena;Mujeres;2005;23.112
29025 Benalmádena;Mujeres;2004;21.551
29025 Benalmádena;Mujeres;2003;20.354
29025 Benalmádena;Mujeres;2002;18.313
29025 Benalmádena;Mujeres;2001;17.051
29025 Benalmádena;Mujeres;2000;16.255
29025 Benalmádena;Mujeres;1999;15.289
29025 Benalmádena;Mujeres;1998;14.523
29025 Benalmádena;Mujeres;1997;""
29025 Benalmádena;Mujeres;1996;13.856
29026 Benamargosa;Total;2022;1.519
29026 Benamargosa;Total;2021;1.535
29026 Benamargosa;Total;2020;1.535
29026 Benamargosa;Total;2019;1.514
29026 Benamargosa;Total;2018;1.496
29026 Benamargosa;Total;2017;1.532
29026 Benamargosa;Total;2016;1.558
29026 Benamargosa;Total;2015;1.568
29026 Benamargosa;Total;2014;1.489
29026 Benamargosa;Total;2013;1.613
29026 Benamargosa;Total;2012;1.634
29026 Benamargosa;Total;2011;1.617
29026 Benamargosa;Total;2010;1.610
29026 Benamargosa;Total;2009;1.631
29026 Benamargosa;Total;2008;1.642
29026 Benamargosa;Total;2007;1.631
29026 Benamargosa;Total;2006;1.608
29026 Benamargosa;Total;2005;1.585
29026 Benamargosa;Total;2004;1.539
29026 Benamargosa;Total;2003;1.528
29026 Benamargosa;Total;2002;1.520
29026 Benamargosa;Total;2001;1.548
29026 Benamargosa;Total;2000;1.551
29026 Benamargosa;Total;1999;1.552
29026 Benamargosa;Total;1998;1.558
29026 Benamargosa;Total;1997;""
29026 Benamargosa;Total;1996;1.590
29026 Benamargosa;Hombres;2022;785
29026 Benamargosa;Hombres;2021;787
29026 Benamargosa;Hombres;2020;799
29026 Benamargosa;Hombres;2019;788
29026 Benamargosa;Hombres;2018;772
29026 Benamargosa;Hombres;2017;791
29026 Benamargosa;Hombres;2016;802
29026 Benamargosa;Hombres;2015;808
29026 Benamargosa;Hombres;2014;766
29026 Benamargosa;Hombres;2013;825
29026 Benamargosa;Hombres;2012;839
29026 Benamargosa;Hombres;2011;820
29026 Benamargosa;Hombres;2010;815
29026 Benamargosa;Hombres;2009;832
29026 Benamargosa;Hombres;2008;843
29026 Benamargosa;Hombres;2007;837
29026 Benamargosa;Hombres;2006;821
29026 Benamargosa;Hombres;2005;806
29026 Benamargosa;Hombres;2004;782
29026 Benamargosa;Hombres;2003;775
29026 Benamargosa;Hombres;2002;767
29026 Benamargosa;Hombres;2001;787
29026 Benamargosa;Hombres;2000;785
29026 Benamargosa;Hombres;1999;787
29026 Benamargosa;Hombres;1998;795
29026 Benamargosa;Hombres;1997;""
29026 Benamargosa;Hombres;1996;811
29026 Benamargosa;Mujeres;2022;734
29026 Benamargosa;Mujeres;2021;748
29026 Benamargosa;Mujeres;2020;736
29026 Benamargosa;Mujeres;2019;726
29026 Benamargosa;Mujeres;2018;724
29026 Benamargosa;Mujeres;2017;741
29026 Benamargosa;Mujeres;2016;756
29026 Benamargosa;Mujeres;2015;760
29026 Benamargosa;Mujeres;2014;723
29026 Benamargosa;Mujeres;2013;788
29026 Benamargosa;Mujeres;2012;795
29026 Benamargosa;Mujeres;2011;797
29026 Benamargosa;Mujeres;2010;795
29026 Benamargosa;Mujeres;2009;799
29026 Benamargosa;Mujeres;2008;799
29026 Benamargosa;Mujeres;2007;794
29026 Benamargosa;Mujeres;2006;787
29026 Benamargosa;Mujeres;2005;779
29026 Benamargosa;Mujeres;2004;757
29026 Benamargosa;Mujeres;2003;753
29026 Benamargosa;Mujeres;2002;753
29026 Benamargosa;Mujeres;2001;761
29026 Benamargosa;Mujeres;2000;766
29026 Benamargosa;Mujeres;1999;765
29026 Benamargosa;Mujeres;1998;763
29026 Benamargosa;Mujeres;1997;""
29026 Benamargosa;Mujeres;1996;779
29027 Benamocarra;Total;2022;3.085
29027 Benamocarra;Total;2021;3.030
29027 Benamocarra;Total;2020;3.046
29027 Benamocarra;Total;2019;3.011
29027 Benamocarra;Total;2018;2.999
29027 Benamocarra;Total;2017;2.988
29027 Benamocarra;Total;2016;2.999
29027 Benamocarra;Total;2015;3.047
29027 Benamocarra;Total;2014;3.029
29027 Benamocarra;Total;2013;3.084
29027 Benamocarra;Total;2012;3.089
29027 Benamocarra;Total;2011;3.084
29027 Benamocarra;Total;2010;3.035
29027 Benamocarra;Total;2009;3.061
29027 Benamocarra;Total;2008;3.080
29027 Benamocarra;Total;2007;3.007
29027 Benamocarra;Total;2006;2.952
29027 Benamocarra;Total;2005;2.887
29027 Benamocarra;Total;2004;2.881
29027 Benamocarra;Total;2003;2.852
29027 Benamocarra;Total;2002;2.830
29027 Benamocarra;Total;2001;2.817
29027 Benamocarra;Total;2000;2.811
29027 Benamocarra;Total;1999;2.790
29027 Benamocarra;Total;1998;2.795
29027 Benamocarra;Total;1997;""
29027 Benamocarra;Total;1996;2.779
29027 Benamocarra;Hombres;2022;1.541
29027 Benamocarra;Hombres;2021;1.516
29027 Benamocarra;Hombres;2020;1.522
29027 Benamocarra;Hombres;2019;1.509
29027 Benamocarra;Hombres;2018;1.511
29027 Benamocarra;Hombres;2017;1.515
29027 Benamocarra;Hombres;2016;1.514
29027 Benamocarra;Hombres;2015;1.541
29027 Benamocarra;Hombres;2014;1.533
29027 Benamocarra;Hombres;2013;1.560
29027 Benamocarra;Hombres;2012;1.575
29027 Benamocarra;Hombres;2011;1.581
29027 Benamocarra;Hombres;2010;1.553
29027 Benamocarra;Hombres;2009;1.563
29027 Benamocarra;Hombres;2008;1.563
29027 Benamocarra;Hombres;2007;1.537
29027 Benamocarra;Hombres;2006;1.509
29027 Benamocarra;Hombres;2005;1.462
29027 Benamocarra;Hombres;2004;1.458
29027 Benamocarra;Hombres;2003;1.445
29027 Benamocarra;Hombres;2002;1.425
29027 Benamocarra;Hombres;2001;1.417
29027 Benamocarra;Hombres;2000;1.405
29027 Benamocarra;Hombres;1999;1.396
29027 Benamocarra;Hombres;1998;1.400
29027 Benamocarra;Hombres;1997;""
29027 Benamocarra;Hombres;1996;1.423
29027 Benamocarra;Mujeres;2022;1.544
29027 Benamocarra;Mujeres;2021;1.514
29027 Benamocarra;Mujeres;2020;1.524
29027 Benamocarra;Mujeres;2019;1.502
29027 Benamocarra;Mujeres;2018;1.488
29027 Benamocarra;Mujeres;2017;1.473
29027 Benamocarra;Mujeres;2016;1.485
29027 Benamocarra;Mujeres;2015;1.506
29027 Benamocarra;Mujeres;2014;1.496
29027 Benamocarra;Mujeres;2013;1.524
29027 Benamocarra;Mujeres;2012;1.514
29027 Benamocarra;Mujeres;2011;1.503
29027 Benamocarra;Mujeres;2010;1.482
29027 Benamocarra;Mujeres;2009;1.498
29027 Benamocarra;Mujeres;2008;1.517
29027 Benamocarra;Mujeres;2007;1.470
29027 Benamocarra;Mujeres;2006;1.443
29027 Benamocarra;Mujeres;2005;1.425
29027 Benamocarra;Mujeres;2004;1.423
29027 Benamocarra;Mujeres;2003;1.407
29027 Benamocarra;Mujeres;2002;1.405
29027 Benamocarra;Mujeres;2001;1.400
29027 Benamocarra;Mujeres;2000;1.406
29027 Benamocarra;Mujeres;1999;1.394
29027 Benamocarra;Mujeres;1998;1.395
29027 Benamocarra;Mujeres;1997;""
29027 Benamocarra;Mujeres;1996;1.356
29028 Benaoján;Total;2022;1.459
29028 Benaoján;Total;2021;1.470
29028 Benaoján;Total;2020;1.453
29028 Benaoján;Total;2019;1.476
29028 Benaoján;Total;2018;1.488
29028 Benaoján;Total;2017;1.497
29028 Benaoján;Total;2016;1.491
29028 Benaoján;Total;2015;1.513
29028 Benaoján;Total;2014;1.523
29028 Benaoján;Total;2013;1.531
29028 Benaoján;Total;2012;1.543
29028 Benaoján;Total;2011;1.572
29028 Benaoján;Total;2010;1.602
29028 Benaoján;Total;2009;1.604
29028 Benaoján;Total;2008;1.629
29028 Benaoján;Total;2007;1.632
29028 Benaoján;Total;2006;1.612
29028 Benaoján;Total;2005;1.627
29028 Benaoján;Total;2004;1.628
29028 Benaoján;Total;2003;1.584
29028 Benaoján;Total;2002;1.619
29028 Benaoján;Total;2001;1.623
29028 Benaoján;Total;2000;1.648
29028 Benaoján;Total;1999;1.648
29028 Benaoján;Total;1998;1.684
29028 Benaoján;Total;1997;""
29028 Benaoján;Total;1996;1.704
29028 Benaoján;Hombres;2022;742
29028 Benaoján;Hombres;2021;747
29028 Benaoján;Hombres;2020;743
29028 Benaoján;Hombres;2019;765
29028 Benaoján;Hombres;2018;775
29028 Benaoján;Hombres;2017;779
29028 Benaoján;Hombres;2016;777
29028 Benaoján;Hombres;2015;787
29028 Benaoján;Hombres;2014;797
29028 Benaoján;Hombres;2013;795
29028 Benaoján;Hombres;2012;795
29028 Benaoján;Hombres;2011;806
29028 Benaoján;Hombres;2010;827
29028 Benaoján;Hombres;2009;819
29028 Benaoján;Hombres;2008;822
29028 Benaoján;Hombres;2007;823
29028 Benaoján;Hombres;2006;808
29028 Benaoján;Hombres;2005;816
29028 Benaoján;Hombres;2004;812
29028 Benaoján;Hombres;2003;791
29028 Benaoján;Hombres;2002;806
29028 Benaoján;Hombres;2001;804
29028 Benaoján;Hombres;2000;819
29028 Benaoján;Hombres;1999;815
29028 Benaoján;Hombres;1998;823
29028 Benaoján;Hombres;1997;""
29028 Benaoján;Hombres;1996;842
29028 Benaoján;Mujeres;2022;717
29028 Benaoján;Mujeres;2021;723
29028 Benaoján;Mujeres;2020;710
29028 Benaoján;Mujeres;2019;711
29028 Benaoján;Mujeres;2018;713
29028 Benaoján;Mujeres;2017;718
29028 Benaoján;Mujeres;2016;714
29028 Benaoján;Mujeres;2015;726
29028 Benaoján;Mujeres;2014;726
29028 Benaoján;Mujeres;2013;736
29028 Benaoján;Mujeres;2012;748
29028 Benaoján;Mujeres;2011;766
29028 Benaoján;Mujeres;2010;775
29028 Benaoján;Mujeres;2009;785
29028 Benaoján;Mujeres;2008;807
29028 Benaoján;Mujeres;2007;809
29028 Benaoján;Mujeres;2006;804
29028 Benaoján;Mujeres;2005;811
29028 Benaoján;Mujeres;2004;816
29028 Benaoján;Mujeres;2003;793
29028 Benaoján;Mujeres;2002;813
29028 Benaoján;Mujeres;2001;819
29028 Benaoján;Mujeres;2000;829
29028 Benaoján;Mujeres;1999;833
29028 Benaoján;Mujeres;1998;861
29028 Benaoján;Mujeres;1997;""
29028 Benaoján;Mujeres;1996;862
29029 Benarrabá;Total;2022;446
29029 Benarrabá;Total;2021;438
29029 Benarrabá;Total;2020;446
29029 Benarrabá;Total;2019;455
29029 Benarrabá;Total;2018;458
29029 Benarrabá;Total;2017;480
29029 Benarrabá;Total;2016;493
29029 Benarrabá;Total;2015;521
29029 Benarrabá;Total;2014;520
29029 Benarrabá;Total;2013;544
29029 Benarrabá;Total;2012;559
29029 Benarrabá;Total;2011;587
29029 Benarrabá;Total;2010;567
29029 Benarrabá;Total;2009;570
29029 Benarrabá;Total;2008;570
29029 Benarrabá;Total;2007;547
29029 Benarrabá;Total;2006;538
29029 Benarrabá;Total;2005;560
29029 Benarrabá;Total;2004;561
29029 Benarrabá;Total;2003;585
29029 Benarrabá;Total;2002;584
29029 Benarrabá;Total;2001;611
29029 Benarrabá;Total;2000;630
29029 Benarrabá;Total;1999;653
29029 Benarrabá;Total;1998;602
29029 Benarrabá;Total;1997;""
29029 Benarrabá;Total;1996;647
29029 Benarrabá;Hombres;2022;231
29029 Benarrabá;Hombres;2021;231
29029 Benarrabá;Hombres;2020;233
29029 Benarrabá;Hombres;2019;230
29029 Benarrabá;Hombres;2018;229
29029 Benarrabá;Hombres;2017;240
29029 Benarrabá;Hombres;2016;248
29029 Benarrabá;Hombres;2015;258
29029 Benarrabá;Hombres;2014;259
29029 Benarrabá;Hombres;2013;272
29029 Benarrabá;Hombres;2012;282
29029 Benarrabá;Hombres;2011;295
29029 Benarrabá;Hombres;2010;292
29029 Benarrabá;Hombres;2009;296
29029 Benarrabá;Hombres;2008;310
29029 Benarrabá;Hombres;2007;295
29029 Benarrabá;Hombres;2006;287
29029 Benarrabá;Hombres;2005;300
29029 Benarrabá;Hombres;2004;296
29029 Benarrabá;Hombres;2003;310
29029 Benarrabá;Hombres;2002;309
29029 Benarrabá;Hombres;2001;324
29029 Benarrabá;Hombres;2000;333
29029 Benarrabá;Hombres;1999;342
29029 Benarrabá;Hombres;1998;321
29029 Benarrabá;Hombres;1997;""
29029 Benarrabá;Hombres;1996;322
29029 Benarrabá;Mujeres;2022;215
29029 Benarrabá;Mujeres;2021;207
29029 Benarrabá;Mujeres;2020;213
29029 Benarrabá;Mujeres;2019;225
29029 Benarrabá;Mujeres;2018;229
29029 Benarrabá;Mujeres;2017;240
29029 Benarrabá;Mujeres;2016;245
29029 Benarrabá;Mujeres;2015;263
29029 Benarrabá;Mujeres;2014;261
29029 Benarrabá;Mujeres;2013;272
29029 Benarrabá;Mujeres;2012;277
29029 Benarrabá;Mujeres;2011;292
29029 Benarrabá;Mujeres;2010;275
29029 Benarrabá;Mujeres;2009;274
29029 Benarrabá;Mujeres;2008;260
29029 Benarrabá;Mujeres;2007;252
29029 Benarrabá;Mujeres;2006;251
29029 Benarrabá;Mujeres;2005;260
29029 Benarrabá;Mujeres;2004;265
29029 Benarrabá;Mujeres;2003;275
29029 Benarrabá;Mujeres;2002;275
29029 Benarrabá;Mujeres;2001;287
29029 Benarrabá;Mujeres;2000;297
29029 Benarrabá;Mujeres;1999;311
29029 Benarrabá;Mujeres;1998;281
29029 Benarrabá;Mujeres;1997;""
29029 Benarrabá;Mujeres;1996;325
29030 Borge, El;Total;2022;921
29030 Borge, El;Total;2021;906
29030 Borge, El;Total;2020;922
29030 Borge, El;Total;2019;930
29030 Borge, El;Total;2018;933
29030 Borge, El;Total;2017;940
29030 Borge, El;Total;2016;960
29030 Borge, El;Total;2015;963
29030 Borge, El;Total;2014;963
29030 Borge, El;Total;2013;984
29030 Borge, El;Total;2012;1.026
29030 Borge, El;Total;2011;1.033
29030 Borge, El;Total;2010;1.015
29030 Borge, El;Total;2009;1.026
29030 Borge, El;Total;2008;1.046
29030 Borge, El;Total;2007;1.041
29030 Borge, El;Total;2006;1.035
29030 Borge, El;Total;2005;988
29030 Borge, El;Total;2004;966
29030 Borge, El;Total;2003;988
29030 Borge, El;Total;2002;984
29030 Borge, El;Total;2001;1.018
29030 Borge, El;Total;2000;1.021
29030 Borge, El;Total;1999;1.033
29030 Borge, El;Total;1998;1.032
29030 Borge, El;Total;1997;""
29030 Borge, El;Total;1996;1.046
29030 Borge, El;Hombres;2022;470
29030 Borge, El;Hombres;2021;461
29030 Borge, El;Hombres;2020;474
29030 Borge, El;Hombres;2019;483
29030 Borge, El;Hombres;2018;490
29030 Borge, El;Hombres;2017;493
29030 Borge, El;Hombres;2016;498
29030 Borge, El;Hombres;2015;499
29030 Borge, El;Hombres;2014;495
29030 Borge, El;Hombres;2013;503
29030 Borge, El;Hombres;2012;536
29030 Borge, El;Hombres;2011;539
29030 Borge, El;Hombres;2010;526
29030 Borge, El;Hombres;2009;532
29030 Borge, El;Hombres;2008;541
29030 Borge, El;Hombres;2007;543
29030 Borge, El;Hombres;2006;539
29030 Borge, El;Hombres;2005;512
29030 Borge, El;Hombres;2004;496
29030 Borge, El;Hombres;2003;510
29030 Borge, El;Hombres;2002;509
29030 Borge, El;Hombres;2001;521
29030 Borge, El;Hombres;2000;520
29030 Borge, El;Hombres;1999;527
29030 Borge, El;Hombres;1998;528
29030 Borge, El;Hombres;1997;""
29030 Borge, El;Hombres;1996;537
29030 Borge, El;Mujeres;2022;451
29030 Borge, El;Mujeres;2021;445
29030 Borge, El;Mujeres;2020;448
29030 Borge, El;Mujeres;2019;447
29030 Borge, El;Mujeres;2018;443
