Municipios;Sexo;Periodo;Total
29001 Alameda;Mujeres;2013;2.711
29001 Alameda;Mujeres;2012;2.748
29001 Alameda;Mujeres;2011;2.743
29001 Alameda;Mujeres;2010;2.750
29001 Alameda;Mujeres;2009;2.749
29001 Alameda;Mujeres;2008;2.739
29001 Alameda;Mujeres;2007;2.713
29001 Alameda;Mujeres;2006;2.669
29001 Alameda;Mujeres;2005;2.635
29001 Alameda;Mujeres;2004;2.596
29001 Alameda;Mujeres;2003;2.563
29001 Alameda;Mujeres;2002;2.530
29001 Alameda;Mujeres;2001;2.523
29001 Alameda;Mujeres;2000;2.518
29001 Alameda;Mujeres;1999;2.501
29001 Alameda;Mujeres;1998;2.511
29001 Alameda;Mujeres;1997;""
29001 Alameda;Mujeres;1996;2.466
29002 Alcaucín;Total;2022;2.487
29002 Alcaucín;Total;2021;2.366
29002 Alcaucín;Total;2020;2.279
29002 Alcaucín;Total;2019;2.230
29002 Alcaucín;Total;2018;2.239
29002 Alcaucín;Total;2017;2.253
29002 Alcaucín;Total;2016;2.272
29002 Alcaucín;Total;2015;2.375
29002 Alcaucín;Total;2014;2.454
29002 Alcaucín;Total;2013;2.832
29002 Alcaucín;Total;2012;2.817
29002 Alcaucín;Total;2011;2.753
29002 Alcaucín;Total;2010;2.668
29002 Alcaucín;Total;2009;2.576
29002 Alcaucín;Total;2008;2.469
29002 Alcaucín;Total;2007;2.286
29002 Alcaucín;Total;2006;2.086
29002 Alcaucín;Total;2005;1.917
29002 Alcaucín;Total;2004;1.651
29002 Alcaucín;Total;2003;1.599
29002 Alcaucín;Total;2002;1.557
29002 Alcaucín;Total;2001;1.534
29002 Alcaucín;Total;2000;1.511
29002 Alcaucín;Total;1999;1.499
29002 Alcaucín;Total;1998;1.509
29002 Alcaucín;Total;1997;""
29002 Alcaucín;Total;1996;1.484
29002 Alcaucín;Hombres;2022;1.269
29002 Alcaucín;Hombres;2021;1.210
29002 Alcaucín;Hombres;2020;1.172
29002 Alcaucín;Hombres;2019;1.140
29002 Alcaucín;Hombres;2018;1.148
29002 Alcaucín;Hombres;2017;1.159
29002 Alcaucín;Hombres;2016;1.166
29002 Alcaucín;Hombres;2015;1.193
29002 Alcaucín;Hombres;2014;1.240
29002 Alcaucín;Hombres;2013;1.438
29002 Alcaucín;Hombres;2012;1.418
29002 Alcaucín;Hombres;2011;1.388
29002 Alcaucín;Hombres;2010;1.344
29002 Alcaucín;Hombres;2009;1.305
29002 Alcaucín;Hombres;2008;1.239
